Country Name,Country Code,Year,"average_value_Access to electricity, rural (% of rural population)",average_value_Agricultural irrigated land (% of total agricultural land),average_value_Agricultural land (% of land area),average_value_Agricultural land (sq. km),"average_value_Agricultural machinery, tractors","average_value_Agricultural machinery, tractors per 100 sq. km of arable land",average_value_Agricultural methane emissions (% of total),average_value_Agricultural methane emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural nitrous oxide emissions (% of total),average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural raw materials exports (% of merchandise exports),average_value_Agricultural raw materials imports (% of merchandise imports),"average_value_Agriculture, forestry, and fishing, value added (% of GDP)","average_value_Agriculture, forestry, and fishing, value added (current US$)","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",average_value_Arable land (% of land area),average_value_Arable land (hectares per person),average_value_Arable land (hectares),average_value_Average precipitation in depth (mm per year),average_value_Cereal production (metric tons),average_value_Cereal yield (kg per hectare),average_value_Crop production index (2014-2016 = 100),average_value_Employment in agriculture (% of total employment) (modeled ILO estimate),"average_value_Employment in agriculture, female (% of female employment) (modeled ILO estimate)","average_value_Employment in agriculture, male (% of male employment) (modeled ILO estimate)",average_value_Fertilizer consumption (% of fertilizer production),average_value_Fertilizer consumption (kilograms per hectare of arable land),average_value_Food production index (2014-2016 = 100),average_value_Forest area (% of land area),average_value_Forest area (sq. km),average_value_Land area (sq. km),average_value_Land under cereal production (hectares),average_value_Livestock production index (2014-2016 = 100),average_value_Permanent cropland (% of land area),average_value_Rural land area (sq. km),average_value_Rural land area where elevation is below 5 meters (% of total land area),average_value_Rural land area where elevation is below 5 meters (sq. km),average_value_Rural population,average_value_Rural population (% of total population),average_value_Rural population growth (annual %),average_value_Rural population living in areas where elevation is below 5 meters (% of total population),average_value_Surface area (sq. km)
Panama,PAN,2015,78.7036509,,30.47760389,22590,,,,2410,,1160,0.03530112,0.03836595,2.786004533,1507000000,,7.62277388,0.142371532,565000,,388183,2437.7,98.02,14.67000008,7.849999905,19.01000023,,74.51815929,99.9,57.62155963,42709.1,74120,159238,101.26,2.495952509,,,,1321666,33.304,0.736171317,,75320
Papua New Guinea,PNG,2018,55.36416185,,2.627743674,11900,,,,1100,,3670,,,16.97383552,4092308547,,0.662456388,0.034858088,300000,,20142,4727.8,103.84,57.31999969,61.31000137,53.47999954,,145.3302333,103.71,79.32433865,359228.2,452860,4260,103.07,1.545731573,,,,7472957,86.831,1.897615832,,462840
Sweden,SWE,2014,100,,7.445680194,30327,,,,3480,,3960,4.084428689,1.343999798,1.443298194,8399476153,,6.366158454,0.267426834,2593000,,5775400,5646.9,99.88,1.980000019,0.910000026,2.940000057,,92.62360201,99.57,68.74027154,279986,407310,1022750,99.32,0.00982053,,,,1333506,13.753,-1.243894366,,447420
Trinidad and Tobago,TTO,2013,100,,10.52631579,540,,,,100,,200,0.008300074,0.37176859,0.723133381,197187470.9,,4.873294347,0.018467794,25000,,6292,1610.5,99.71,3.529999971,1.269999981,5.170000076,1.190843901,308,109.48,45.05614035,2311.38,5130,3907,113.18,4.288499025,,,,629068,46.47,0.963024182,,5130
Uruguay,URY,2012,100,1.405481377,81.30499372,142300,,,,19150,,7990,8.435305817,1.845334641,8.121772487,4163577132,86.61202186,12.30145126,0.637175475,2153000,1300,4603046,4070.5,100.38,8.609999657,4.019999981,12.21000004,1539.215,178.7290989,99.34,10.32327734,18067.8,175020,1130824,99.03,0.222831676,,,,177768,5.261,-2.087549296,,176220
Antigua and Barbuda,ATG,2020,,,,,,,,,,,,,2.136280119,30229629.63,,,,,,,,,,,,,,,18.45454545,81.2,440,,,,,,,74001,75.567,0.929974052,,
Azerbaijan,AZE,2016,100,29.81143935,57.73557518,47730,,,,4020,,3300,0.160335751,1.45587311,5.605111775,2122516764,,24.18047659,0.2048615,1999000,,2965670,3005.1,104.13,36.34000015,42.11000061,30.95000076,,44.2146073,103.97,13.15441152,10874.752,82670,986891,103.69,2.915205032,,,,4388966,44.979,0.437619372,,86600
Belize,BLZ,2010,84.0689162,,6.882946076,1570,,,,150,,120,1.446300088,0.867888514,11.6630929,160621442.6,,3.288031565,0.232583381,75000,,98489,3223.4,100.68,18.90999985,3.869999886,26.96999931,,58.01333333,96.3,60.99912319,13913.9,22810,30554,79.04,1.402893468,21296.04492,5.656372935,1233.321289,176621,54.772,2.483289454,7.473733038,22970
Botswana,BWA,2016,28.74331761,,45.63301749,258616,,,,2100,,1720,0.077986483,0.670844794,2.049740906,320709720,,0.458066451,0.120189358,259600,,37798,399.8,98.35,21.36000061,16.78000069,25.37000084,,89.57241911,95.49,27.75201595,157279,566730,94544,95.07,0.003529017,,,,692623,32.067,-0.565230289,,581730
Early-demographic dividend,EAR,2016,78.97757357,,41.12570508,13702252.15,,,,1414280,,725060,1.204763472,1.652860999,9.730849392,1.08608E+12,,12.98368688,0.136703553,,,849437661,3403.081704,,36.8534422,40.3880802,35.38310773,120.7305767,126.9444685,,23.07104496,7686805,33317975.04,249608584,,2.179298593,,,,1761754125,55.67349241,0.635126547,,34141601.69
Iceland,ISL,2019,100,,,,,,,,,,0.510493986,0.978521407,4.409501358,1095175275,,,,,,,,,4.039999962,1.399999976,6.420000076,,,,0.502727363,506.9,100830,,,,,,,22157,6.145,1.518901416,,
"Korea, Rep.",KOR,2014,100,,17.94416504,17483,,,,9140,,4630,0.928140137,1.519507554,2.05667705,30527632178,,15.14933799,0.029085659,1476000,,5852534,6618.1,105.42,5.579999924,5.630000114,5.550000191,209.7757675,345.9229268,102.03,65.1442061,63470,97430,884326,98.38,2.206712512,,,,9283086,18.293,1.022511668,,100280
Sri Lanka,LKA,2014,91.23969172,,43.69319088,27400,,,,4010,,2300,2.629391336,1.578662006,8.006609793,6353761285,,20.73034604,0.062566176,1300000,,3625675,3801.9,93.53,28.87000084,32.27000046,27.21999931,1968.044996,261.3145923,90.09,33.86668793,21237.8,62710,953655,92.89,15.94642003,,,,16992664,81.782,0.908754127,,65610
Pakistan,PAK,2020,,,,,,,,,,,1.850011948,5.896540193,22.69385995,59840656962,,,,,,,,,,,,,,,4.833307389,37259,770880,,,,,,,138797696,62.835,1.568561237,,
Peru,PER,2019,92.4505882,,,,,,,,,,0.893547089,1.222783076,6.746179552,15413058460,,,,,,,,,27.37000084,26.34000015,28.25,,,,56.643125,725032,1280000,,,,,,,7120116,21.901,0.743305415,,
South Asia,SAS,2011,55.21670328,,56.59095515,2700281,,,,688090,,299140,2.496905738,2.236691271,17.84861402,4.05758E+11,,43.19636883,0.124051045,,,397312059,2975.309517,0.174970907,48.70911062,65.10432787,43.78867669,172.0359225,168.1063233,0.185008518,18.3793483,876984.756,4771577,133536190,0.177466612,3.220947708,,,,1143401742,68.81610672,0.850413599,,5136164
South Asia,SAS,2017,84.8703359,,56.84102644,2711764.3,,,,715790,,308690,1.523443429,1.973232903,16.86618471,5.61681E+11,91.28508461,43.30829064,0.115241547,,,433868152,3278.299212,,43.42246134,58.88261827,38.97171264,153.1588119,165.3320166,,18.67764166,891070.5,4770787,132343766,,3.365168053,,,,1191117547,66.43587104,0.592312439,,5135680
Europe & Central Asia (IDA & IBRD countries),TEC,2020,,,,,,,,,,,,,4.956310419,1.97098E+11,,,,,,,,,,,,,,,39.29836694,9034413.3,22989284.3,,,,,,,153449094,33.32429875,-0.203687136,,
Mozambique,MOZ,2013,2.832062178,,51.22859686,402851.44,,,,9520,,9210,3.735868846,0.927284733,23.50395072,3989635937,,7.184821588,0.22104201,5650000,,1459320,564.8,87.73,74.01999664,84.16999817,62.68999863,,5.91100531,91.37,48.77140314,383528.56,786380,2583881,104.39,0.381494952,,,,17033685,66.64,2.00069739,,799380
Benin,BEN,2019,17.3715563,,,,,,,,,,57.37443248,1.139419307,26.87580163,3867881063,,,,,,,,,38.27000046,29.76000023,46.49000168,,,,28.24716211,31851.5,112760,,,,,,,6153002,52.139,1.667770936,,
Chile,CHL,2019,100,,,,,,,,,,6.886428762,0.662864841,3.610879391,10088272983,,,,,,,,,8.979999542,4.739999771,12.03999996,,,,24.32686152,180878,743532,,,,,,,2341903,12.357,0.545658851,,
European Union,EUU,2015,100,,41.36477414,1652794.99,,,,219270,,176920,1.533504824,1.541671959,1.668609236,2.21345E+11,,25.00437124,0.22474485,,,293720773,5374.145376,,5.067514506,3.864232691,6.083774276,86.79649252,155.0463901,,39.60720739,1582568.63,3995658.2,54654389,,2.995188127,,,,115989541,26.09181593,-0.507758122,,4172085.6
Croatia,HRV,2016,100,1.015523933,27.31931437,15460,,,,1410,,1170,5.192653361,1.24262612,3.110000745,1604796077,,15.44442481,0.209373965,874000,,3573872,6665.5,110.84,7.599999905,5.550000191,9.350000381,23.98187006,119.0366133,109.14,34.00106379,19241.202,56590,536172,105.18,1.272309595,,,,1819891,43.597,-1.265605033,,88073
Israel,ISR,2010,100,32.58671952,23.31330869,5045,,,,520,,810,0.811485068,1.206398079,1.541684888,3607543511,,13.56746765,0.038511989,293600,,241056,3037.6,97.13,1.25999999,0.660000026,1.789999962,2.279009901,206.4032698,91.61,7.116451017,1540,21640,79358,87.68,3.572088725,15621.7832,0.106385932,23.42703629,623153,8.174,1.058939898,0.316554389,22070
Late-demographic dividend,LTE,2018,99.29163464,,34.82980006,15519654.99,,,,1001930,,725370,1.414167988,2.282029471,5.551468222,1.3679E+12,,9.205324265,0.17928434,,,1057472478,4571.968878,,23.23967397,20.5865276,25.29914221,81.94945394,199.2331139,,39.46985842,17587197.86,44558553.2,231294472,,1.231967852,,,,859034028,37.54763178,-1.707932657,,45821803.8
Myanmar,MMR,2012,41.13300796,,19.21304448,125490,,,,55800,,16890,23.82526353,1.086719196,30.5901997,16290667554,88.55573591,16.46023119,0.209107677,10751000,2091,28341452,3557.6,95,52.59999847,50.13000107,54.36999893,175.1681586,15.63544042,90.15,47.25036515,308615.76,653150,7966471,77.77,2.282783434,,,,36366969,70.734,0.556657342,,676590
Nigeria,NGA,2018,30.95084587,,75.8956158,691234.5,,,,45780,,30410,0.133973746,0.791532284,21.20377372,84219371562,,37.33104955,0.173580368,34000000,,26216277,1509,102.05,35.52999878,24.23999977,44.79999924,91.41012608,19.73733088,101.9,24.1043842,219535.5,910770,17373539,100.6,7.136818297,,,,97263534,49.656,0.938771667,,923770
Poland,POL,2020,,,,,,,,,,,,,2.39011104,14201195874,,,,,,,,,,,,,,,30.97298886,94830,306170,,,,,,,15164002,39.957,-0.053671949,,
South Asia,SAS,2015,78.43158478,,56.66659819,2703427.4,,,,699390,,303700,1.7165476,2.350269604,16.71327167,4.51205E+11,,43.14428728,0.117656929,,,400127714,3011.213684,,44.92840786,60.77735361,40.37020162,154.4565858,164.3693953,,18.58389229,886592.9,4770760,132879983,,3.354685627,,,,1176700582,67.26243871,0.661291491,,5135333
San Marino,SMR,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.66666667,10,60,,,,,,,849,2.501,-4.828524116,,
Sint Maarten (Dutch part),SXM,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.88235294,3.7,34,,,,,,,0,0,,,
Zimbabwe,ZWE,2012,23.81361725,,41.87669639,162000,,,,7250,,5220,6.951503355,0.393190216,8.044517527,1376807100,80.19574914,10.33992504,0.304990816,4000000,657,1284098,696.4,103.15,65.98999786,71.37999725,60.49000168,208.5714286,18.25,110.82,46.04663306,178131.4,386850,1843825,106.47,0.258498126,,,,8808921,67.166,1.967932354,,390760
Aruba,ABW,2010,100,,11.11111111,20,,,,,,,0.158576853,0.830182228,,,,11.11111111,0.019672454,2000,,,,,,,,,,,2.333333333,4.2,180,,,,9.008321762,2.352464008,4.278098583,57889,56.941,0.846565902,2.351122785,180
Aruba,ABW,2014,100,,11.11111111,20,,,,,,,0.055358095,0.398227879,,,,11.11111111,0.019272279,2000,,,,,,,,,,,2.333333333,4.2,180,,,,,,,59110,56.959,0.502019303,,180
Australia,AUS,2011,100,0.495555651,51.56281322,3961210,,,,118990,,101120,3.005694101,0.638382939,2.276542366,31795326826,,4.125704542,1.418749595,31694900,,39973082,2097.5,99.2,2.819999933,1.889999986,3.589999914,242.34266,68.11520907,91.14,16.95531026,1302557.8,7682300,19057341,86.21,0.049867878,,,,3283984,14.7,0.590016538,,7741220
Brazil,BRA,2019,98.48208866,,,,,,,,,,5.657866231,1.128172163,4.401763235,82656772848,,,,,,,,,9.079999924,4.019999981,12.81000042,,,,59.55852618,4977985,8358140,,,,,,,27807885,13.176,-1.165293997,,
Canada,CAN,2016,100,,6.474755147,580500,,,,23780,,32610,4.76670518,0.921041247,1.862225893,28454713730,,4.297542047,1.067032606,38530000,,58904067,4269.2,108.33,1.580000043,0.99000001,2.119999886,25.25475945,99.27329354,106.64,38.71201338,3470760.4,8965590,13797513,102.52,0.019853685,,,,6752474,18.7,0.913336126,,9879750
Czech Republic,CZE,2019,100,,,,,,,,,,1.309468214,1.065541161,1.936593779,4854778750,,,,,,,,,2.660000086,1.74000001,3.410000086,,,,34.65388601,26752.8,77200,,,,,,,2783117,26.079,-0.099658673,,
Germany,DEU,2015,100,,47.95906667,167310,,,,34260,,29060,0.795232239,1.43282098,0.684691591,22979863653,,33.95631485,0.145017646,11846000,,48866800,7497.8,97.52,1.389999986,0.959999979,1.779999971,55.29589458,202.2739321,99.27,32.73232815,114190,348860,6517500,100.44,0.587628275,,,,18624547,22.8,0.82185231,,357409
Madagascar,MDG,2014,,,70.29047783,408950,,,,14670,,8040,2.259161502,2.951830226,25.84537895,3236606250,,5.156411138,0.127173086,3000000,,4350378,3608.4,101.73,67.19999695,63.93999863,70.33999634,,8.734476667,100.64,21.50070127,125091.08,581800,1205633,97.69,1.031282228,,,,15443362,65.466,1.703950668,,587295
Middle East & North Africa,MEA,2017,95.25284218,,33.21094617,3725381.096,,,,69530,,64950,0.217558999,1.065734569,5.077768045,1.59201E+11,85.42563418,4.629011586,0.118864229,,,67223260,2429.949467,,16.2000493,20.19817454,15.25380363,14.92592379,76.21784122,,2.042213068,229204.7,11223349,27664515,,0.913266297,,,,154221959,34.94727357,0.810883238,,11385550.9
Niger,NER,2010,3.756086779,0.196012005,34.72171785,439820,,,,13350,,7770,2.359097142,2.129390438,35.82138796,2812405909,,11.92073893,0.917151183,15100000,,5264113,494.8,82.33,75.13999939,73.43000031,76.48000336,,0.49602649,83.98,0.950422357,12039,1266700,10639915,89.85,0.078945291,,,,13793396,83.779,3.848944791,,1267000
Other small states,OSS,2010,41.9563812,,38.64292116,784721.8,,,,20970,,17600,0.624371548,1.002048922,2.492629153,7745596775,,2.098296154,0.163564608,,,2305381,1336.292005,0.150798519,22.78544005,26.87897741,20.40551715,7.616663693,44.04507216,0.164245416,29.77884966,604719.1,2030700,1721290,0.167160561,0.408408093,1365357.063,0.790780827,11135.85602,11077725,42.52334339,0.470576391,3.83874066,2072817
St. Vincent and the Grenadines,VCT,2014,100,,17.94871795,70,,,,10,,10,0.028603295,1.43325095,6.60667844,48077777.78,,5.128205128,0.018370871,2000,,857,24485.7,102.16,11.36999989,5.050000191,15.72999954,,,101.94,73.17948718,285.4,390,35,99.71,7.692307692,,,,53827,49.442,-0.589043307,,390
Belgium,BEL,2014,100,,43.9663144,13313,,,,6220,,3430,1.395227089,1.281683234,0.637835968,3410369081,,26.98150594,0.072887487,817000,,3162852,9435.4,109.39,1.220000029,0.839999974,1.549999952,19.80647476,304.0305998,101.81,22.76796565,6894.14,30280,335211,97.11,0.736459709,,,,242900,2.167,-1.566099724,,30530
Chile,CHL,2016,100,,21.17165098,157418,,,,5120,,5070,7.219481278,0.675950988,3.991871502,9997248965,,1.707794688,0.069734471,1269800,,3872403,6858.2,98.45,9.479999542,4.920000076,12.69999981,31.04552147,293.8448338,99.21,23.83086404,177190.1,743532,564637,100.36,0.614633936,,,,2290337,12.578,0.833472612,,756700
Costa Rica,CRI,2020,,,,,,,,,,,,,4.351979287,2677366811,,,,,,,,,,,,,,,59.43732863,30348.7,51060,,,,,,,979547,19.229,-2.632501129,,
Estonia,EST,2018,100,,23.09638831,10040,,,,640,,1200,0.00469249,2.749895271,1.9019714,582311067.3,,15.82700713,0.520432655,688000,,919828,2624.8,76.8,3.289999962,1.649999976,4.829999924,22868.77794,87.74563953,88.34,56.09385783,24384,43470,350433,97.86,0.092017483,,,,411399,31.12,-0.174374313,,45340
Finland,FIN,2010,100,0.655351455,7.541625535,22919,,,,2350,,4070,5.897248566,2.49271223,2.418904769,6027455700,,7.419545903,0.420408729,2254800,,2991748,3135.3,89.85,4.440000057,2.769999981,6.010000229,66.49096726,124.6828987,94.19,73.18854886,222420,303900,954200,96.48,0.01349128,289666.2813,0.406788891,1259.900269,870472,16.23,-1.621753252,0.341798665,338420
Iraq,IRQ,2011,93.49212534,,19.68594585,85500,,,,4760,,3860,0.020456531,,4.563773437,8477193846,,9.900534168,0.139949791,4300000,,4270151,1798.5,132.35,22.56999969,18.60000038,23.19000053,130.5279503,39.09767442,126.97,1.89952109,8250,434320,2374286,108.39,0.575612452,,,,9442501,30.732,2.717252087,,435240
Lower middle income,LMC,2020,,,,,,,,,,,,,15.96957327,1.21215E+12,,,,,,,,,,,,,,,26.25633732,6721555.4,25599745,,,,,,,1917019291,57.55686806,0.512187757,,
Lithuania,LTU,2010,100,0.054106698,44.23294775,27723,,,,2110,,3050,2.344034378,1.714693311,3.023792715,1122694745,,33.9433586,0.686860286,2127400,,2796700,2763.5,56.13,8.829999924,6.489999771,11.43999958,18.09268286,90.81507944,72.61,34.62305544,21700,62675,1012000,97.1,0.48982848,59360.13672,1.080536864,691.2301636,1029629,33.243,-1.840997073,0.631769881,65300
Middle East & North Africa,MEA,2016,92.97363234,,33.20643942,3726874.254,,,,70810,,64050,0.213349193,1.084497183,5.239077441,1.69174E+11,,4.613340458,0.119407772,,,63420133,2571.111597,,16.74443657,21.0530686,15.72854931,15.70245703,70.41654077,,2.04137482,229110.6,11223348,24666466,,0.916209471,,,,152981458,35.28039573,0.833789546,,11385549.9
Mongolia,MNG,2016,74.72530659,0.031436907,72.92367713,1135607.9,,,,15000,,12520,5.85735293,0.410541081,11.68937974,1307659897,,0.849796379,0.432982655,1323350,,483453,1279.6,111.36,30.36000061,27.94000053,32.43000031,,19.51309177,106.36,9.103978705,141772.2,1557255.4,377802,105.63,0.003210777,,,,968957,31.703,1.702304738,,1564120
Mauritania,MRT,2017,,,38.47967401,396610,,,,6380,,3100,0.042049918,0.196099004,20.85649234,1409342754,90.57917346,0.388085767,0.093401597,400000,92,353856,1361.2,102.54,31.97999954,23.28000069,35.88999939,,,102.01,0.319394586,3292,1030700,259954,101.91,0.010672359,,,,2020351,47.176,1.008507889,,1030700
Senegal,SEN,2016,44.50023686,,46.11229419,88780,,,,6480,,4850,1.945599899,1.839767369,14.41402039,2744474571,,16.62078637,0.213425619,3200000,,1707611,1228.9,95.75,32.49000168,27.63999939,35.72000122,335.9220473,22.34375,97.35,42.737028,82281.6,192530,1389573,101.11,0.405131668,,,,8052117,53.704,2.002450413,,196710
Sweden,SWE,2016,100,,7.442734036,30315,,,,3380,,3980,3.814440616,1.196375102,1.398744426,7212690972,,6.32343915,0.259556378,2575600,,5447300,5438.2,96.21,1.889999986,1,2.690000057,,96.299041,98.07,68.69460607,279800,407310,1001680,99.41,0.00982053,,,,1304687,13.148,-0.992235061,,447430
South Africa,ZAF,2016,78.00099384,,79.41785028,963410,,,,15920,,13250,2.465113631,1.000100703,2.22405748,6591156315,,9.892093744,0.213494074,12000000,,10197534,3817.6,91.2,5.570000172,3.880000114,6.860000134,141.2417763,57.25,95.97,14.17511479,171956.9,1213090,2671222,100.22,0.340452893,,,,19481009,34.659,0.002643635,,1219090
World,WLD,2012,74.08446748,,36.93019909,47955059.53,,,,3439240,,2231950,1.61514449,1.581495768,3.637924154,3.03705E+12,,10.66887986,0.194916922,,,2566124436,3621.416435,0.191456925,31.14652048,30.06478126,31.8360806,93.58124583,131.8961506,0.20958112,30.81984683,40090560.5,129864695.5,708597049,0.191294138,1.265109231,,,,3360960853,47.44475336,0.230857495,,134302036.2
Costa Rica,CRI,2010,97.09039727,1.544804838,35.62475519,18190,,,,2280,,1300,2.657248398,1.11533519,6.485189408,2442232499,,4.406580494,0.049154853,225000,,286537,3199.2,86.48,11.36999989,3.369999886,16,,519.3177333,89.27,56.23188406,28712,51060,89566,97.51,6.169212691,46479.98438,0.561649495,283.8101807,1293748,28.264,-2.780617223,0.242243032,51100
European Union,EUU,2013,100,,41.83808404,1671421.5,,,,215750,,172860,1.582132736,1.605995008,1.756961355,2.66252E+11,,25.10574656,0.22667521,,,289480200,5253.388976,0.145079949,5.435266199,4.314690208,6.373072819,87.5965419,149.9313893,0.1557011,39.44940723,1575994.43,3994976.2,55103582,0.135498996,2.971657253,,,,117080051,26.46059417,-0.443497326,,4171935.2
Moldova,MDA,2012,100,,74.86305539,24600,,,,810,,700,0.760311415,1.382461637,10.4481729,909948643.4,4.402357958,55.20389531,0.634385957,1814000,450,2055650,2344.2,74.79,26.45000076,23.20999908,29.64999962,,19.12899669,79.03,11.54169203,3792.6,32860,876918,95.71,8.977480219,,,,1642530,57.442,0.04085996,,33850
Madagascar,MDG,2017,,,70.29047783,408950,,,,13610,,8120,2.239062635,2.962305382,24.55013844,3234803140,95.89212873,5.156411138,0.117322646,3000000,1513,3888307,4302.1,97.27,65.25,61.40000153,68.94000244,,12.98775667,97.98,21.43255414,124694.6,581800,903806,101.38,1.031282228,,,,16231649,63.478,1.63609157,,587295
North Macedonia,MKD,2020,,,,,,,,,,,0.434054647,0.804149883,9.093391004,1115481710,,,,,,,,,,,,,,,39.71015067,10014.9,25220,,,,,,,864978,41.518,-0.661523404,,
Myanmar,MMR,2017,59.91913485,,19.71644786,128707,,,,59900,,19660,2.418366105,0.48750327,23.0027856,15445157323,88.55573591,16.94511252,0.207213893,11061600,2091,28119013,3614.3,99.5,50.61999893,45.52000046,54.06999969,1861.058376,38.73503562,100.06,45.05739978,294130.2,652790,7780038,101.6,2.313148179,,,,37195873,69.678,0.290051838,,676590
Sierra Leone,SLE,2010,,,54.45247991,39303.8,,,,2050,,960,,,52.94268026,1364876220,,21.89498476,0.246332554,1580380,,1144650,1747.2,107.6,64.16000366,63.86999893,64.44999695,,,105.42,37.85203658,27321.6,72180,655146,86.5,2.078137988,71494.83594,2.833346865,2045.827148,3922776,61.144,1.616735767,2.882683131,72300
Slovenia,SVN,2016,100,0.502040552,30.65633999,6174.8,,,,1070,,570,2.168177193,2.723460849,1.98017136,885856063.8,,9.148048853,0.089228209,184260,,642479,6464.6,95.74,5.019999981,4.159999847,5.760000229,,258.4065994,100.59,61.85929898,12459.7,20142,99384,103.61,2.654155496,,,,949506,45.98,-0.445239377,,20675
Sub-Saharan Africa (IDA & IBRD countries),TSS,2018,27.26969361,,42.53868828,10146678.12,,,,551980,,379210,2.003783735,1.030238083,14.8773241,2.86402E+11,,9.407083965,0.204658474,,,161577588,1445.154455,,53.34079098,53.34858998,53.41676048,341.7636953,19.96330606,,26.63086595,6352213.38,23852823.23,111807318,,1.25780681,,,,645082160,59.82291426,1.775706717,,24287427.39
Tuvalu,TUV,2017,99.38198775,,60,18,,,,10,,0,,,,,,,,,,,,102.06,,,,,,102.01,33.33333333,10,30,,101.9,60,,,,4372,38.47,-1.091912578,,30
Niger,NER,2014,7.714798152,,36.0637878,456820,,,,16040,,9350,1.447672617,1.427621343,33.42904423,3631378423,,13.26280887,0.873172613,16800000,,4915209,446.8,91.88,73.97000122,71.97000122,75.45999908,,0.999243452,91.28,0.911202337,11542.2,1266700,11000547,89.16,0.078945291,,,,16119617,83.781,3.886720149,,1267000
Bahrain,BHR,2017,100,,11.02564103,86,,,,20,,20,0.08562287,0.693921425,0.29059524,103085106.4,33.31031308,2.051282051,0.001070895,1600,83,,,100.53,1.00999999,0.050000001,1.25,0.112251181,211.73125,114.37,0.820512821,6.4,780,,117.56,3.846153846,,,,161569,10.814,3.793935778,,780
Germany,DEU,2010,100,,47.91003242,167000,,,,34200,,29160,0.86585623,1.655351372,0.803696771,27296388044,,33.98456551,0.14485748,11846000,,44038739,6685.2,91.64,1.649999976,1.200000048,2.029999971,66.07328601,211.5968259,94.56,32.73087185,114090,348570,6587482,96.54,0.570903979,291859.2188,3.552068118,12582.6123,18836498,23.034,-0.99621059,1.028626816,357127
Early-demographic dividend,EAR,2020,,,,,,,,,,,,,10.81883088,1.22316E+12,,,,,,,,,,,,,,,22.77863405,7589317.5,33317702.39,,,,,,,1800696128,54.04079201,0.492790145,,
"Egypt, Arab Rep.",EGY,2020,,,,,,,,,,,,,11.50830756,41783125390,,,,,,,,,,,,,,,0.045185594,449.8,995450,,,,,,,58552675,57.217,1.827660294,,
Greenland,GRL,2016,100,,0.592301133,2431.1,,,,,,,0.009736098,0.560711889,18.41173856,498432788.2,,,,,,,,,,,,,,97.41,0.000535997,2.2,410450,,97.51,,,,,7683,13.674,-1.716281885,,410450
Guatemala,GTM,2017,89.60656156,,35.98357596,38560,,,,6220,,3870,3.236701977,1.500223167,9.696286632,6947790253,56.73716194,8.044046286,0.053582247,862000,1996,2037704,2153.3,98.43,31.78000069,10.14000034,42.29000092,,359.8286311,97.05,33.24561404,35626,107160,946309,93.41,11.039567,,,,7934315,49.32,0.89836637,,108890
Netherlands,NLD,2011,100,,55.11269276,18584,,,,12010,,6780,3.056626741,1.728777326,1.578974074,14275283246,,29.83392645,0.060264514,1006000,,1609679,7800.8,103.01,2.779999971,1.629999995,3.75,15.6043666,246.8111332,93.44,11.02461447,3717.5,33720,206349,89.52,1.079478055,,,,2023367,12.121,-5.49848374,,41540
Nepal,NPL,2015,80.85815964,,28.74782002,41210,,,,19160,,5510,3.108097061,1.759592279,26.51850843,6460119585,,14.74502965,0.078241622,2113700,,9266240,2743.9,99.57,66.93000031,76.29000092,55.20999908,,74.11414108,99.23,41.59072201,59620.3,143350,3377036,98.25,1.478897803,,,,22001853,81.443,-0.054903027,,147180
Syrian Arab Republic,SYR,2011,81.50414353,10.05389867,75.77737842,139150,,,,3930,,3790,,,,,,25.3880085,0.221138466,4662000,,4829179,1678.8,174.82,13.22999954,12.40999985,13.35999966,90.3085554,49.72200772,153.02,2.712410826,4980.8,183630,2876585,120.13,5.739802864,,,,9575360,45.42,0.948490264,,185180
Ukraine,UKR,2018,100,0.965423794,71.33068692,413290,,,,10510,,19670,2.023434302,1.064519958,10.14361079,13278175034,,56.76216776,0.737026987,32888000,,69109347,4852.4,111.11,14.42000008,12.05000019,16.61000061,217.0889139,65.39278764,107.77,16.70348637,96780,579400,14242355,97.6,1.489471867,,,,13675909,30.648,-0.811692035,,603550
South Africa,ZAF,2012,82.476107,,79.41785028,963410,,,,17360,,15480,1.784397826,0.913654318,2.169477737,8598349748,62.43510805,9.892093744,0.227132237,12000000,495,14556168,4243.5,98.87,4.829999924,3.589999914,5.760000229,324.342633,62.0035,92.63,14.29513886,173412.9,1213090,3430267,87.14,0.340452893,,,,19404379,36.728,0.15936417,,1219090
Zimbabwe,ZWE,2010,18.20354858,,41.87669639,162000,,,,7280,,5590,7.838543496,0.336348869,9.609863269,1157186600,,10.33992504,0.315016986,4000000,,1388171,733.7,97.16,65.54000092,71.62999725,59.34999847,215.7151899,34.083,108.62,46.28481324,179052.8,386850,1891899,102.83,0.258498126,,,,8482590,66.804,1.626771403,,390760
Central African Republic,CAF,2013,0.572729814,,8.154354875,50800,,,,9560,,8430,45.77606319,1.59385551,32.25890625,545673628.8,,2.889338342,0.404681263,1800000,,203144,1256.7,108.82,72.52999878,76.02999878,69.62000275,,0.143922222,102.6,36.13759671,225130,622980,161644,96.93,0.128415037,,,,2683757,60.337,-0.195058313,,622980
